"","serial","GPS_date_YYYY.MM.DD","GPS_utc_HH.MM.SS","GPS_YYYY.MM.DD_HH.MM.SS","lat","lon","hdop","fix","cog","speed","alt","data_voltage","solar_charge","solar_current","nsats","vdop","geo","activity","inactivity","temperature","time_to_fix","Name"
"241",89460800120136630272,"2022-07-26","17:02:54","2022-07-26 17:02:54",46.982819,-123.974678,1.27,3,14,0.28,95,4.15,5.59,27,11,1.99,NA,0,NA,41,5,665
"242",89460800120136630272,"2022-07-26","16:47:41","2022-07-26 16:47:41",46.982887,-123.974655,0.76,3,341,0.91,92,4.17,5.57,25,12,1.17,NA,0,NA,39,5,665
"243",89460800120136630272,"2022-07-26","16:32:28","2022-07-26 16:32:28",46.982777,-123.974525,1.45,3,342,0.11,72,4.15,5.59,22,11,2.56,NA,0,NA,37,5,665
"244",89460800120136630272,"2022-07-26","16:17:15","2022-07-26 16:17:15",46.982754,-123.974792,1.12,3,334,2.51,90,4.14,5.61,19,12,1.9,NA,0,NA,36,6,665
"245",89460800120136630272,"2022-07-26","16:02:01","2022-07-26 16:02:01",46.982533,-123.974846,1.44,3,336,0.47,118,4.15,5.57,16,11,1.9,NA,0,NA,34,5,665
"246",89460800120136630272,"2022-07-26","15:46:48","2022-07-26 15:46:48",46.982265,-123.975204,1.64,3,0,0.1,148,4.14,5.56,14,10,1.98,NA,0,NA,31,5,665
"247",89460800120136630272,"2022-07-26","15:31:35","2022-07-26 15:31:35",46.982285,-123.975174,1.7,3,37,0.04,134,4.13,5.51,11,11,1.82,NA,0,NA,30,5,665
"248",89460800120136630272,"2022-07-26","15:16:22","2022-07-26 15:16:22",46.982319,-123.975243,1.01,3,0,0.66,115,4.13,5.43,8,12,1.07,NA,0,NA,27,6,665
"249",89460800120136630272,"2022-07-26","15:01:08","2022-07-26 15:01:08",46.982605,-123.975159,1.13,3,39,1.2,83,4.13,5.43,6,11,1.45,NA,0,NA,21,5,665
"250",89460800120136630272,"2022-07-26","14:45:55","2022-07-26 14:45:55",46.982883,-123.974899,1.23,3,4,1.76,64,4.13,5.11,0,11,1.4,NA,0,NA,18,6,665
"251",89460800120136630272,"2022-07-26","14:30:41","2022-07-26 14:30:41",46.982906,-123.974838,0.97,3,357,2.01,58,4.13,5.09,0,11,1.44,NA,0,NA,18,5,665
"252",89460800120136630272,"2022-07-26","14:15:28","2022-07-26 14:15:28",46.983147,-123.974983,1.29,3,336,0.02,1,4.11,5.05,0,10,1.64,NA,0,NA,17,5,665
"253",89460800120136630272,"2022-07-26","14:00:15","2022-07-26 14:00:15",46.983238,-123.974609,1.3,3,0,0.92,-36,4.13,5.01,0,11,4.13,NA,0,NA,17,9,665
"254",89460800120136630272,"2022-07-26","13:44:58","2022-07-26 13:44:58",46.983185,-123.974419,1.24,3,0,0.27,9,4.13,4.93,0,11,2.13,NA,0,NA,17,6,665
"255",89460800120136630272,"2022-07-26","13:29:44","2022-07-26 13:29:44",46.98312,-123.974327,1.19,3,0,0.12,8,4.13,4.81,0,11,2.09,NA,0,NA,16,5,665
"256",89460800120136630272,"2022-07-26","13:14:31","2022-07-26 13:14:31",46.983047,-123.97438,1.01,3,0,1.13,71,4.11,4.6,0,12,1.86,NA,0,NA,17,5,665
"257",89460800120136630272,"2022-07-26","12:59:18","2022-07-26 12:59:18",46.9832,-123.974152,1.08,3,13,0.69,-3,4.13,3.87,0,10,1.79,NA,0,NA,18,8,665
"258",89460800120136630272,"2022-07-26","12:44:32","2022-07-26 12:44:32",46.982903,-123.974281,2.02,3,4,0.33,9,4.12,3.06,0,8,2.42,NA,0,NA,19,36,665
"259",89460800120136630272,"2022-07-26","00:07:13","2022-07-26 00:07:13",46.982922,-123.974541,0.76,3,0,0.25,61,4.17,5.64,37,12,1.01,NA,2,NA,46,6,665
"260",89460800120136630272,"2022-07-25","23:51:58","2022-07-25 23:51:58",46.982994,-123.974663,1.12,3,0,0.14,46,4.18,5.64,39,11,1.19,NA,0,NA,46,5,665
"261",89460800120136630272,"2022-07-25","23:36:45","2022-07-25 23:36:45",46.982937,-123.974571,1.13,3,323,0.1,23,4.18,5.65,41,10,1.64,NA,0,NA,45,5,665
"262",89460800120136630272,"2022-07-25","23:21:32","2022-07-25 23:21:32",46.98299,-123.974472,1.02,3,334,0.06,11,4.16,5.69,43,10,1.77,NA,0,NA,45,5,665
"263",89460800120136630272,"2022-07-25","23:06:19","2022-07-25 23:06:19",46.983017,-123.974373,1.23,3,329,0.06,13,4.18,5.66,44,10,2.25,NA,0,NA,46,5,665
"264",89460800120136630272,"2022-07-25","22:51:06","2022-07-25 22:51:06",46.982975,-123.974297,1.08,3,31,0.29,41,4.15,5.68,45,11,1.98,NA,0,NA,45,5,665
"265",89460800120136630272,"2022-07-25","22:35:53","2022-07-25 22:35:53",46.982887,-123.974251,0.93,3,0,0.17,67,4.17,5.66,46,10,1.42,NA,0,NA,46,5,665
"266",89460800120136630272,"2022-07-25","22:20:40","2022-07-25 22:20:40",46.982872,-123.974335,0.87,3,0,0.15,87,4.17,5.69,47,12,1.15,NA,0,NA,46,6,665
"267",89460800120136630272,"2022-07-25","22:05:26","2022-07-25 22:05:26",46.983025,-123.974533,0.95,3,26,0.17,78,4.17,5.51,27,12,1.22,NA,0,NA,46,5,665
"268",89460800120136630272,"2022-07-25","21:50:13","2022-07-25 21:50:13",46.983265,-123.974434,1.57,3,19,0.24,0,4.18,5.54,29,12,1.76,NA,0,NA,45,5,665
"269",89460800120136630272,"2022-07-25","21:35:00","2022-07-25 21:35:00",46.983002,-123.974655,1.1,3,0,0.11,69,4.18,5.53,32,11,1.21,NA,0,NA,47,5,665
"270",89460800120136630272,"2022-07-25","21:19:47","2022-07-25 21:19:47",46.983101,-123.974701,1.76,3,345,0.09,53,4.17,5.52,34,9,2.42,NA,0,NA,48,8,665
